step,t,proton_id,proton_score,electron_id,electron_score,photon_id,photon_score
2280,114.00000000,39,3.231590,57,5.017746,19,6.050952
2290,114.50000000,7,3.365084,45,3.968256,19,5.205191
2300,115.00000000,62,2.892866,45,4.786618,36,4.718301
2310,115.50000000,32,5.010493,45,4.966759,31,4.823331
2320,116.00000000,33,4.351864,29,4.304201,26,4.741060
2330,116.50000000,32,3.364467,15,6.328679,59,4.293559
2340,117.00000000,49,3.226152,58,3.683329,63,5.450582
2350,117.50000000,33,2.856291,55,6.536207,35,4.726641
2360,118.00000000,30,3.548039,55,5.803169,44,4.838276
2370,118.50000000,60,4.336990,55,4.224202,32,4.450992
2380,119.00000000,60,5.021594,5,3.620024,63,5.008493
2390,119.50000000,32,3.985459,29,6.256768,37,5.311903
2400,120.00000000,19,3.426536,29,5.728280,60,5.232436
2410,120.50000000,44,3.401361,41,4.278067,60,6.405924
2420,121.00000000,30,2.836646,30,4.413883,60,5.943239
2430,121.50000000,30,3.559744,30,6.546970,60,5.831095
2440,122.00000000,6,3.988768,30,4.730753,44,6.182853
2450,122.50000000,6,3.739160,29,4.624786,28,4.924991
2460,123.00000000,19,3.482424,29,6.836983,31,5.021857
2470,123.50000000,58,3.221699,35,5.158698,31,4.684722
2480,124.00000000,10,3.982865,53,5.264056,10,5.509982
2490,124.50000000,10,4.968106,30,5.789479,59,5.371603
2500,125.00000000,10,5.898859,30,6.267401,63,4.878466
2510,125.50000000,10,5.504729,38,5.643981,63,5.268677
2520,126.00000000,10,5.146101,29,6.153573,63,4.756752
2530,126.50000000,10,5.568117,29,6.967263,25,4.599526
2540,127.00000000,17,3.160066,35,3.614848,17,4.894905
2550,127.50000000,17,3.482309,21,4.356794,25,5.186869
2560,128.00000000,30,3.584953,62,5.655885,59,5.396097
2570,128.50000000,56,2.893131,56,4.817808,63,4.818073
2580,129.00000000,51,3.164925,56,4.764779,36,5.774569
2590,129.50000000,15,4.075345,15,6.222962,23,5.369047
2600,130.00000000,44,3.426152,44,5.331106,25,4.781558
2610,130.50000000,35,3.502246,14,4.996740,25,5.174541
2620,131.00000000,62,3.846656,62,5.658278,34,4.880290
2630,131.50000000,33,3.449277,30,4.162731,63,4.936723
2640,132.00000000,56,3.570144,56,7.421936,10,4.932200
2650,132.50000000,31,3.965664,56,4.124381,36,5.457486
2660,133.00000000,60,4.638931,15,5.300831,27,4.727339
2670,133.50000000,44,4.188110,44,5.131193,33,4.934775
2680,134.00000000,10,4.233303,45,5.414609,60,6.389245
2690,134.50000000,60,5.105971,45,6.168053,17,4.781658
2700,135.00000000,60,4.099427,56,4.511230,44,4.749093
2710,135.50000000,56,3.754773,56,6.987876,60,6.132519
2720,136.00000000,60,4.902944,15,6.459816,36,5.250024
2730,136.50000000,17,4.722555,44,4.774871,61,4.905092
2740,137.00000000,44,4.906989,44,5.247098,33,4.617005
2750,137.50000000,10,5.598338,62,5.303976,17,4.321786
2760,138.00000000,10,7.021404,43,4.280455,17,5.820817
2770,138.50000000,10,5.541112,56,7.382452,10,4.703858
2780,139.00000000,10,5.606841,9,5.819508,44,4.220216
2790,139.50000000,10,6.848639,49,3.973335,36,4.952806
2800,140.00000000,10,5.718751,44,5.678381,10,4.969316
2810,140.50000000,17,6.699775,62,6.005742,10,5.921394
2820,141.00000000,10,5.851230,5,4.738782,3,4.651922
2830,141.50000000,10,4.776620,56,4.279582,10,7.230757
2840,142.00000000,10,5.417441,56,7.059446,10,5.570873
2850,142.50000000,10,7.943745,15,5.182826,27,4.427292
2860,143.00000000,17,4.733776,44,4.706943,33,5.342076
2870,143.50000000,17,4.853616,44,6.339703,10,7.381062
2880,144.00000000,17,5.227969,62,5.231141,6,4.796201
2890,144.50000000,10,5.025184,37,3.938568,28,5.436600
2900,145.00000000,10,4.964717,56,7.402839,47,4.545929
2910,145.50000000,10,5.541623,15,6.089299,27,3.966254
2920,146.00000000,10,4.704159,14,3.928956,60,5.837332
2930,146.50000000,10,4.959014,44,5.644473,10,7.609236
2940,147.00000000,62,4.094605,62,7.029582,60,5.995120
2950,147.50000000,10,5.087636,5,5.111935,60,6.194129
2960,148.00000000,10,4.616584,56,5.302791,60,5.536494
2970,148.50000000,15,3.982960,15,6.638352,44,4.260203
2980,149.00000000,49,3.833840,14,4.125104,53,4.832142
2990,149.50000000,44,3.636240,44,5.020246,33,5.095395
3000,150.00000000,44,4.108255,44,6.801364,60,4.660268
3010,150.50000000,60,3.916061,43,3.996975,60,5.956622
3020,151.00000000,58,3.576107,56,4.475956,58,5.242770
3030,151.50000000,58,3.796566,56,7.033694,4,4.785383
3040,152.00000000,49,3.393241,38,7.099671,27,4.595018
3050,152.50000000,60,4.217650,14,5.013618,33,5.286414
3060,153.00000000,10,4.976901,44,5.359838,60,5.944454
3070,153.50000000,10,5.634883,62,5.453830,9,4.392245
3080,154.00000000,10,5.368708,41,4.229238,6,5.097743
3090,154.50000000,10,5.295992,56,7.762229,58,5.162658
3100,155.00000000,10,5.084629,15,6.761465,58,4.636976
3110,155.50000000,10,3.882274,14,5.518473,10,7.527849
3120,156.00000000,10,5.697887,44,6.896373,54,4.810459
3130,156.50000000,10,5.584176,62,4.738958,31,4.736199
3140,157.00000000,10,5.537525,51,4.771493,28,5.049414
3150,157.50000000,10,6.607368,56,7.081497,6,4.564162
3160,158.00000000,10,6.086486,15,5.990573,44,4.610246
3170,158.50000000,10,4.618054,14,3.609705,10,6.991501
3180,159.00000000,10,5.218574,14,4.360039,60,5.912683
3190,159.50000000,10,5.852818,62,6.188344,31,4.782807
3200,160.00000000,10,5.897024,4,4.818429,28,4.550631
3210,160.50000000,10,7.122825,56,4.951008,7,4.987237
3220,161.00000000,10,6.308123,56,6.058914,54,4.496356
3230,161.50000000,60,4.213184,15,4.316874,10,4.864443
3240,162.00000000,44,3.242734,14,4.892403,33,5.340283
3250,162.50000000,44,4.542306,44,6.762853,17,5.490463
3260,163.00000000,17,3.875940,43,5.343256,58,4.691338
3270,163.50000000,17,3.573839,43,5.247856,60,5.144266
3280,164.00000000,56,4.357497,56,6.553763,60,5.015207
3290,164.50000000,17,4.360954,38,5.097107,27,4.321859
3300,165.00000000,17,3.873260,38,4.565402,36,5.629950
3310,165.50000000,44,5.285326,62,4.176456,31,4.890375
3320,166.00000000,17,4.429720,62,6.103631,56,4.501403
3330,166.50000000,17,3.718968,5,4.254138,58,5.607281
3340,167.00000000,56,4.353879,56,6.889906,47,4.453800
3350,167.50000000,17,3.959035,15,6.063951,44,4.467090
3360,168.00000000,17,4.120286,43,4.619097,61,5.367215
3370,168.50000000,44,4.411555,44,4.864481,33,4.478566
3380,169.00000000,17,4.993438,62,5.471878,56,4.452865
3390,169.50000000,17,4.932942,5,4.979305,28,5.040204
3400,170.00000000,10,6.643944,56,5.170169,7,4.620557
3410,170.50000000,10,5.671204,56,5.663087,44,4.493920
3420,171.00000000,17,4.833982,49,3.690756,61,4.880737
3430,171.50000000,17,5.271541,44,4.005250,36,5.368343
3440,172.00000000,44,4.902115,62,5.935036,6,4.700556
3450,172.50000000,5,3.259948,5,4.694093,3,4.800215
3460,173.00000000,56,3.484839,51,5.174954,58,5.175716
3470,173.50000000,56,4.501673,56,7.866739,58,5.391318
3480,174.00000000,49,3.384012,15,5.312822,27,4.701269
3490,174.50000000,49,3.268907,14,5.221258,36,5.058569
3500,175.00000000,44,4.643017,44,7.510648,17,4.311274
3510,175.50000000,10,6.420247,5,4.706930,6,5.013588
3520,176.00000000,10,6.902459,51,4.896476,28,5.253602
3530,176.50000000,10,5.822711,56,7.407570,60,4.617272
3540,177.00000000,10,4.304834,15,5.375344,10,6.742344
3550,177.50000000,10,4.778242,14,4.306637,10,5.267775
