step,t,n_edges,fermion_fraction,boson_fraction,frac_FF,frac_BB,frac_FB,frac_other,ff_fraction_random,mean_fermion_distance
3790,189.50000000,2016,0.390625,0.562500,0.148810,0.312500,0.446429,0.092262,0.152588,1.0
3810,190.50000000,2016,0.453125,0.500000,0.201389,0.246032,0.460317,0.092262,0.205322,1.0
3830,191.50000000,2016,0.406250,0.546875,0.161210,0.295139,0.451389,0.092262,0.165039,1.0
3850,192.50000000,2016,0.328125,0.640625,0.104167,0.406746,0.427083,0.062004,0.107666,1.0
3870,193.50000000,2016,0.468750,0.484375,0.215774,0.230655,0.461310,0.092262,0.219727,1.0
3890,194.50000000,2016,0.421875,0.546875,0.174107,0.295139,0.468750,0.062004,0.177979,1.0
3910,195.50000000,2016,0.312500,0.640625,0.094246,0.406746,0.406746,0.092262,0.097656,1.0
3930,196.50000000,2016,0.453125,0.484375,0.201389,0.230655,0.445933,0.122024,0.205322,1.0
3950,197.50000000,2016,0.375000,0.578125,0.136905,0.330357,0.440476,0.092262,0.140625,1.0
3970,198.50000000,2016,0.406250,0.546875,0.161210,0.295139,0.451389,0.092262,0.165039,1.0
4000,200.00000000,2016,0.453125,0.515625,0.201389,0.261905,0.474702,0.062004,0.205322,1.0
