time,total_excitation,total_excess,percent_above_vacuum,frac_sites_excess,excess_site0,excess_site1,excess_site2,excess_site3,excess_site4,excess_site5,excess_site6,excess_site7,excess_site8,excess_site9,excess_site10,excess_site11
4.6,6.00999957,0.0363871125,0.605442847,0.583333333,0,0.00501904661,0,0.00496412982,0.00421923892,0.0103723138,0.00765948477,0,0,0.00159502492,0,0.00255787364
4.7,6.00999957,0.034278332,0.570354983,0.583333333,0,0.0154077505,0,0.00264710213,0,0.00656925845,0.00437798855,0.00112934495,0,0.00036262021,0,0.00378426724
4.8,6.00999957,0.0368001887,0.612315996,0.583333333,0,0.019311408,0,0.0050743036,0,0.00169390037,0.00321836059,0.00440265093,0,0.000840047638,0.0022595176,0
4.9,6.00999957,0.0384746512,0.640177271,0.5,0,0.0173096628,0,0.0095174968,0,0,0.00495317591,0.00261729916,0,0.00077857491,0.00329844168,0
5,6.00999957,0.0353459214,0.588118535,0.333333333,0.00193309267,0.0136278795,0,0.0120591253,0,0,0.00772582392,0,0,0,0,0
5.1,6.00999957,0.0395448138,0.657983639,0.416666667,0.00495447082,0.0100568271,0,0.0116281954,0.00269474845,0,0.0102105721,0,0,0,0,0
5.2,6.00999957,0.0450445409,0.749493246,0.5,0.00858153838,0.00584054842,0.00392023221,0.00927742877,0.00724413963,0,0.0101806534,0,0,0,0,0
5.3,6.00999957,0.0379614557,0.631638243,0.583333333,0.0143197948,0.000500137932,0.00426346151,0.00731349013,0.00116016588,0,0.00797538874,0,0,0,0.00242901672,0
5.4,6.00999957,0.0392871889,0.653697034,0.5,0.017589021,0,0.00126301131,0.00751541675,0,0.00454380372,0.0051522906,0,0,0,0.0032236455,0
5.5,6.00999957,0.0383467246,0.638048709,0.5,0.0144535188,0,0,0.00862768581,0,0.0102868752,0.00203602167,0,0.00201338895,0,0.000929234174,0
5.6,6.00999957,0.0352412177,0.586376377,0.5,0.00739187889,0,0,0.00796119517,0.00403518032,0.00997849331,0.00139413823,0,0.00448033178,0,0,0
5.7,6.00999957,0.0305306084,0.507996849,0.666666667,0.00182302258,0.00201482987,0.000827705995,0.0059233792,0.0064813409,0.00451983269,0.00503143202,0,0.00390906514,0,0,0
5.8,6.00999957,0.0252692599,0.420453606,0.583333333,0.00124630287,0.00442641679,0,0.00554534205,0.00224407131,0.000197842369,0.0102966954,0,0.00131258915,0,0,0
5.9,6.00999957,0.0267573558,0.445213938,0.333333333,0.0034068303,0.00405356355,0,0.00799501113,0,0,0.0113019508,0,0,0,0,0
6,6.00999957,0.0262217379,0.436301827,0.5,0.00413203686,0.00375945142,0,0.0108102342,0,0,0.00698007239,0,0,0.00030471919,0.000235223868,0
6.1,6.00999957,0.0264993455,0.440920922,0.583333333,0.000879959054,0.00492074084,0.00248111819,0.0117475989,0,0,0.00257214802,0,0,0.00299140645,0.000906374064,0
6.2,6.00999957,0.0301246483,0.501242104,0.583333333,0,0.00450998839,0.00627343263,0.0124115333,0.00278989428,0,0.00050872692,0,0.000956856121,0.00267421658,0,0
6.3,6.00999957,0.0377146653,0.627531913,0.583333333,0,0.00117686411,0.0051256988,0.0143029588,0.0117404778,0,0.000339181456,0,0.00429726356,0.000732220745,0,0
6.4,6.00999957,0.0399915707,0.665417197,0.333333333,0,0,0,0.0150195702,0.0167411585,0,0.000393000978,0,0.00783784102,0,0,0
6.5,6.00999957,0.0375302598,0.624463602,0.416666667,0,0,0,0.0115738575,0.0138643157,0.000222353995,0,0,0.00959980982,0.0022699227,0,0
6.6,6.00999957,0.0417371879,0.694462411,0.5,0.0036074325,0,0,0.00657084241,0.00638264013,0,0,0.0100810564,0.00908307406,0.00601214244,0,0
6.7,6.00999957,0.0481351547,0.800917774,0.5,0.0107493616,0,0,0.00633615589,0.00259499732,0,0,0.0138156648,0.0057631108,0.00887586423,0,0
6.8,6.00999957,0.0462004658,0.768726607,0.416666667,0.012576487,0,0,0.01061577,0.00534539376,0,0,0.00715296883,0,0.0105098462,0,0
6.9,6.00999957,0.0452466344,0.752855868,0.416666667,0.00956462901,0,0,0.0121109292,0.00822378685,0,0,0,0,0.0103706763,0.00497661307,0
7,6.00999957,0.0345537925,0.574938352,0.416666667,0.00453314928,0,0,0.00725897245,0.00718055432,0,0,0,0,0.00878380188,0.00679731455,0
7.1,6.00999957,0.0286661869,0.476974859,0.666666667,0.000337802377,0.00416725898,0.00390416881,0.000600093793,0.00417414081,0.00293799443,0,0,0,0.00803489203,0.00450983571,0
7.2,6.00999957,0.028067207,0.467008469,0.583333333,0.000200699455,0.00499939297,0.00707733868,0,0.00144793695,0.00248961814,0,0.00288983138,0,0.00896238938,0,0
7.3,6.00999957,0.0316863423,0.527227031,0.5,0.00517301743,0.00395830952,0.00476410418,0,0,0,0,0.00664903668,0.00165896272,0.00948291174,0,0
7.4,6.00999957,0.0388027792,0.645636971,0.416666667,0.0117162707,0.00501763665,0,0,0,0,0,0.00739216361,0.00677658038,0.00790012782,0,0
7.5,6.00999957,0.0403723725,0.671753334,0.583333333,0.0139537547,0.00728355968,0,0.00367816938,0,0,0,0.0010053861,0.00854726202,0.00571300034,0,0.000191240249
7.6,6.00999957,0.0477494098,0.794499389,0.583333333,0.00886554423,0.0093570958,0,0.0105956498,0,0,0.00391361223,0,0.00862386948,0.00508574646,0,0.00130789182
7.7,6.00999957,0.0498109828,0.828801771,0.5,0.000852431218,0.0105428528,0,0.0150471493,0,0,0.00690335801,0,0.0103027376,0.00616245388,0,0
7.8,6.00999957,0.0532796254,0.886516293,0.416666667,0,0.00934541462,0,0.0149262706,0,0,0.00644733646,0,0.0148948208,0.00766578294,0,0
