t_step,step,center_radius_50,center_radius_90,pair_radius_50,pair_radius_90,a_center_90,a_pair_90
30.0,300,5.535093778976922,6.8257044076009725,5.723212569569441,7.187164273140344,5.703174958801583,5.9342690366143085
31.0,310,5.3459023446023215,6.607255727286577,5.7799863025160745,7.328360520975506,5.520651519614126,6.050851389510525
32.0,320,5.354157398804168,6.716612376694557,5.828844601158585,7.502765658985874,5.612023789381261,6.194853525956636
33.0,330,5.347336820473138,6.766678631870442,5.856591656502818,7.593051224322237,5.65385633819221,6.269400150253383
34.0,340,5.345749997341171,6.721622406339871,5.916040165924125,7.71200873446683,5.616209888560151,6.367620511204636
35.0,350,5.345749997341171,6.852772100287325,5.930870643999803,7.8943844274749875,5.725791201448926,6.518203743606043
36.0,360,5.340520477600588,6.897558006514399,5.906579097178223,7.946147275087735,5.7632117874644955,6.560943084486739
37.0,370,5.189008357509797,6.983361775314638,5.948934756719067,8.125955206126315,5.834904594004343,6.7094061774603615
38.0,380,5.2149637147471335,6.983361775314638,5.991225460481466,8.206100965934294,5.834904594004343,6.775580607704267
39.0,390,5.5014154196558795,7.177658275417029,5.998277276537387,8.280327781387124,5.997247828899305,6.836867907658488
40.0,400,5.507939227059428,7.18178375471557,6.068455297733452,8.451873722034103,6.000694847525295,6.97850927346707
41.0,410,5.501751008111615,7.177658275417029,6.156645724597725,8.66449721801746,5.997247828899305,7.154067390788273
42.0,420,5.564745500150849,7.28091778910137,6.211315724750719,8.773952262455042,6.08352567475017,7.244441793879991
43.0,430,5.55327428839195,7.280926697532074,6.246202690142648,8.797329476344759,6.083533118134161,7.2637437982972966
44.0,440,5.580276024034256,7.522999410381016,6.310125172722496,8.887840143939414,6.285795471099792,7.338476284125893
45.0,450,5.571856506918763,7.522999410381016,6.3712899732463075,8.982468805575204,6.285795471099792,7.4166088987956496
46.0,460,5.596805089073525,7.587765979536261,6.42205176872859,9.312534451131425,6.339910776028959,7.689136180215164
47.0,470,5.815128419596055,8.365777814271175,6.6002414071553765,9.680474564956286,6.989973736354391,7.992935501034804
48.0,480,5.979106957370268,8.365777814271175,6.76521413263635,9.923780174784563,6.989973736354391,8.193827103336755
49.0,490,6.012091942187994,8.483057160320492,6.948618671588344,10.578318185751938,7.087965766133508,8.734263429007889
50.0,500,5.882877989200086,8.185842111133093,7.093175178604856,10.80988828796986,6.839629576242696,8.92546530434738
51.0,510,6.005016209207197,8.267399092686448,7.3549801037502975,11.194787797867276,6.90777400605313,9.243267591450838
52.0,520,5.99181043446345,8.179429837926484,7.40772421337906,11.500001391662526,6.834271841158212,9.495275130221277
53.0,530,6.002864244387005,9.017158318233989,7.627854923936742,12.177079548442956,7.534230674102148,10.054322313289822
54.0,540,6.0036932281586735,9.0171610520471,7.75921086630772,12.624165180874117,7.534232958322728,10.423470189200568
55.0,550,6.370245148983244,9.515473191961238,7.978391388192107,13.144801571841494,7.950594574401559,10.853347161095963
56.0,560,6.409817710489191,9.64957656639756,7.952737214437001,13.390369647579226,8.062643816692852,11.056106827196462
