step,n_edges,mean_degree,min_degree,max_degree,sample_diameter,mean_coupling,std_coupling,max_coupling
490,481,7.515625,0,33,6,0.09259650056361919,0.11627076481122889,1.0000000000000002
500,479,7.484375,0,33,4,0.09200236227272185,0.11551130474787642,1.0000000000000002
510,476,7.4375,0,33,5,0.09206665184621637,0.11451019741891226,1.0000000000000002
520,476,7.4375,0,33,4,0.09611714174513962,0.12314993026737389,1.0000000000000002
530,469,7.328125,0,33,4,0.09455207629549897,0.1272751833616566,1.0000000000000002
540,469,7.328125,0,33,6,0.09671765328103728,0.13203255203810918,1.0000000000000002
550,468,7.3125,0,33,4,0.09911518961769553,0.1326711999577648,1.0000000000000002
560,468,7.3125,0,33,5,0.09981625102800278,0.13463898588692957,1.0000000000000002
570,467,7.296875,0,33,3,0.10361074694052873,0.1427348046234679,1.0000000000000002
580,467,7.296875,0,33,7,0.10538120475393353,0.14339661542316254,1.0000000000000002
590,466,7.28125,0,33,5,0.11034641603127665,0.14479226990346702,1.0000000000000002
600,461,7.203125,0,33,5,0.1090946320690044,0.1442987781155914,1.0000000000000002
610,461,7.203125,0,33,4,0.11148153814623847,0.14931100221411026,1.0000000000000002
620,461,7.203125,0,33,4,0.1107625441489351,0.1427012334918959,1.0000000000000002
630,459,7.171875,0,33,4,0.11131113596314463,0.14518082371858684,1.0000000000000002
640,454,7.09375,0,33,4,0.10668979840305047,0.13805204742885116,1.0000000000000002
650,451,7.046875,0,33,6,0.10532614913514325,0.13879819422598438,1.0000000000000002
660,451,7.046875,0,33,3,0.10877228118558785,0.14752576769304718,1.0000000000000002
670,451,7.046875,0,33,5,0.11003900443345772,0.1531502656227465,1.0000000000000002
680,449,7.015625,0,33,7,0.11135073600808079,0.15655431064228073,1.0000000000000002
690,437,6.828125,0,26,5,0.10445087997168663,0.1447499024584808,1.0
700,437,6.828125,0,26,7,0.10697476764670227,0.14679884987474262,1.0
710,437,6.828125,0,26,7,0.10775882498900213,0.14973293617608804,1.0
720,436,6.8125,0,26,7,0.10723081697553796,0.1470951723328516,1.0
730,434,6.78125,0,26,4,0.10950520688681846,0.1472991085123608,1.0
740,433,6.765625,0,26,5,0.11153231936014875,0.1500060354134135,1.0
750,428,6.6875,0,26,4,0.11257877905245262,0.16129661013055993,1.0
760,424,6.625,0,26,5,0.11218954609052967,0.16597299481079264,1.0
770,422,6.59375,0,26,3,0.11093414584684466,0.16610230158105846,1.0
